,Artist,Track,0,1,2,3,4,5
442,Chris Brown,This X-Mas ,Ella Mai,,,,,
443,Chris Brown,Secret ,Solo Lucci,,,,,
444,Chris Brown,I Wanna,,,,,,
445,Chris Brown,Water,,,,,,
446,Chris Brown,Yoppa ,Trippie Redd,,,,,
447,Chris Brown,Get Off,,,,,,
448,C. Breezy,Whippin,,,,,,
449,C. Breezy,Beat it Up,,,,,,
450,K. Michelle,Either Way ,Chris Brown,,,,,
451,Dave East,Bentley Truck ,DJ Holiday,Chris Brown,,,,
452,Young Blacc,Partyin' Next Door,Chris Brown,,,,,
453,Remy Ma,Melanin Magic (Pretty Brown) ,Chris Brown,,,,,
454,King Combs,Love You Better ,Chris Brown,,,,,
455,Presice,Walk Away,Chris Brown,,,,,
456,Kid Red,Keep It 100 ,Migos,Chris Brown,,,,
457,Skyetunes,Fairytale,Chris Brown,,,,,
458,Lil Dicky,Freaky Friday ,Chris Brown,,,,,
459,AGNEZ MO,Overdose ,Chris Brown,,,,,
460,Fat Joe,Attention,Chris Brown,Dre,,,,
461,Tee Grizzley,Fuck It Off ,Chris Brown,,,,,
462,H.E.R.,Focus ,Chris Brown,DJ Envy,,,,
463,Joyner Lucas,I Don't Die,Chris Brown,,,,,
464,Joyner Lucas,Stranger Things,Chris Brown,,,,,
465,Kirko Bangz,Date Night (Same Time) ,Chris Brown,,,,,
466,Joyner Lucas,Stranger Things,Chris Brown,,,,,
467,Young Blacc,Partyin' Next Door,Chris Brown,,,,,
468,Sage The Gemini,Buss It ,Chris Brown,,,,,
469,Casanova,L,Chris Brown,Fabolous,,,,
470,Jacquees,All My Life,Chris Brown,,,,,
471,Tee Grizzley,Set The Record Straight ,Chris Brown,,,,,
472,Rich The Kid,Drippin' ,Chris Brown,,,,,
473,Konshens,Bruk Off Yuh Back ,Chris Brown,,,,,
474,Blac Youngsta,Booty ,Chris Brown,Jeezy,Trey Songz,,,
475,YBN Nahmir,Man Down ,Chris Brown,,,,,
476,Deorro,Five More Hours,Chris Brown,,,,,
477,Tee Grizzley,Fuck It Off ,Chris Brown,,,,,
478,Fre$H,Stop Playing ,Chris Brown,,,,,
479,A1,Toot That Whoa Whoa ,Chris Brown,PC,,,,
480,Jacquees,All My Life,Chris Brown,,,,,
481,Jeremih,Surrounded ,Ty Dolla $ign,Chris Brown,Wiz Khalifa,,,
482,Tory Lanez,FlEXiBle ,Chris Brown,Lil Baby,,,,
483,Ella Mai,Whatchamacallit ,Chris Brown,,,,,
484,Chris Brown,Undecided,,,,,,
485,Joyner Lucas,Just Let Go,Chris Brown,,,,,
486,A1,Toot That Whoa Whoa ,Chris Brown,PC,,,,
487,Trey Songz,Chi Chi ,Chris Brown,,,,,
488,Eric Bellinger,Type a Way ,Chris Brown,OG Parker,,,,
489,Tory Lanez,DucK my Ex ,Chris Brown,2 Chainz,,,,
490,Trey Songz,Don't Say Shit ,Chris Brown,Fabolous,,,,
491,Chris Brown,Back To Love,,,,,,
492,Chris Brown,Let S**t Go,,,,,,
493,Chris Brown,Wobble Up,Nicki Minaj,G-Eazy,,,,
494,Problem,Lay Your Head Back ,,,,,,
495,Marshmello,Light It Up,Tyga,Chris Brown,,,,
496,DJ Khaled,Jealous ,Chris Brown,Lil Wayne,Big Sean,,,
